Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
1996-01-01,33.3607177734375,33.77634382035979,33.3607177734375,33.573928658103235,11000
1996-01-02,33.71697235107422,33.843819530492354,33.37151742955387,33.36072170587214,203500
1996-01-03,33.51725769042969,33.65489853889,33.35802333483651,33.716973437291294,58000
1996-01-04,33.51994323730469,33.627898380394456,33.41199015328801,33.46596669529635,111500
1996-01-05,33.465972900390625,33.681883226603176,33.196086022161666,33.519949452407026,39500
1996-01-08,33.47948455810547,33.546956310895624,33.20959754694484,33.46598938391764,107500
1996-01-09,33.6063232421875,33.73586988855214,33.35802773398554,33.479478101028775,114500
1996-01-10,33.84652328491211,33.89780040508582,33.4686811442465,33.60632200579458,113500
1996-01-11,33.68187713623047,33.89778536432892,33.468666293893655,33.84650826690733,67500
1996-01-12,33.700775146484375,33.89779141404718,33.681883147415704,33.681883147415704,57000
1996-01-15,33.68187713623047,33.78983022074314,33.68187713623047,33.700769131927494,18500
1996-01-16,33.80873489379883,33.84382151258777,33.62791114445568,33.68188976602564,62000
1996-01-17,33.965267181396484,34.0597271879975,33.681887161593416,33.808732279558384,139500
1996-01-18,34.0057373046875,34.05971384185943,33.681873963510114,33.9652538722721,105500
1996-01-19,34.3727912902832,34.77222269739232,33.87350100186012,34.00574498916633,345000
1996-01-22,34.308013916015625,34.38358189752154,34.073211637131074,34.372786177438826,65500
1996-01-23,34.356597900390625,34.599494425709224,34.27563101923554,34.30801818351224,109500
1996-01-24,34.18927001953125,34.27563373871468,33.89779169513463,34.3566006262938,82500
1996-01-25,34.16767501831055,34.2756301708207,33.250059310584156,34.18926646062723,136500
1996-01-26,34.16767501831055,34.16767501831055,34.16767501831055,34.16767501831055,0
1996-01-29,34.4780387878418,34.62647735184913,33.73585008595088,34.167668555236475,169000
1996-01-30,34.729042053222656,34.81540783230794,34.410577508676454,34.4780492292817,46000
1996-01-31,34.70476531982422,34.76144339687461,34.54553299204464,34.72905415935362,84000
1996-02-01,34.97465133666992,34.97735284197581,34.59950861435376,34.70476436757489,214000
1996-02-02,35.60618209838867,37.73019512135514,34.97734915073006,34.974647645709275,95500
1996-02-05,36.69382095336914,37.48728489833048,35.787000898123615,35.606173069794814,216000
1996-02-06,36.118953704833984,36.704607611516685,35.08528668747918,36.69381395067404,142000
1996-02-07,36.19993209838867,36.27279859810119,33.73586332343763,36.118965202782945,98500
1996-02-08,37.02847671508789,37.40632079351385,36.218816127506614,36.199926188566,163000
1996-02-09,36.83686447143555,37.136439095225704,36.29978805778731,37.02848186431418,113000
1996-02-12,37.70319366455078,37.94609431038054,36.4347262412621,36.83685914675402,227500
1996-02-13,38.29153823852539,38.593810118852495,36.64522720857487,37.70318290786526,219000
1996-02-14,38.1080436706543,39.13361509682145,37.83815666998656,38.29156897254574,96000
1996-02-15,38.54523849487305,38.755749889858876,37.854324760553276,38.108019036086496,148500
1996-02-16,38.054054260253906,38.37791772820105,37.946101143654,38.545250412522556,177500
1996-02-19,38.369815826416016,38.593822422767744,37.56825149279909,38.054048682589176,166500
1996-02-20,38.059452056884766,38.39950807072666,37.89751826849492,38.36982034679343,139000
1996-02-21,38.059452056884766,38.059452056884766,38.059452056884766,38.059452056884766,0
1996-02-22,38.71527099609375,38.86370959944322,37.905610379438684,38.05944787331364,118500
1996-02-23,38.831321716308594,38.917683367807605,38.45887654146852,38.71526822811567,182000
