Price,Close,High,Low,Open,Volume
Ticker,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS
Date,,,,,
2002-08-12,416.6989440917969,422.8032095183202,416.57521391454173,419.1324133317861,7100
2002-08-13,419.9160461425781,424.82421952513556,415.33785345806945,415.33785345806945,8800
2002-08-14,424.32928466796875,424.8242053505428,414.1829827173373,414.1829827173373,18700
2002-08-15,424.32928466796875,424.32928466796875,424.32928466796875,424.32928466796875,0
2002-08-16,421.52459716796875,426.3502500100524,420.69969580364784,425.6491039895731,9400
2002-08-19,423.17437744140625,428.0825503682663,422.3907111172889,424.82418008250335,9100
2002-08-20,431.6708068847656,451.5096715481198,423.42179452179295,426.06148854753934,87200
2002-08-21,428.7012023925781,440.3322902228963,427.29886015644587,437.1976754496454,26000
2002-08-22,432.9493713378906,438.02253381790877,426.10270150035035,429.77352188160165,17700
2002-08-23,463.5121154785156,471.84359945558253,441.3222477425466,441.3222477425466,701900
2002-08-26,450.7261657714844,461.94480518682633,437.1977620518178,461.94480518682633,50100
2002-08-27,455.345458984375,460.2948661472486,450.3960518215014,450.3960518215014,29100
2002-08-28,458.1089172363281,459.47002452176946,446.27160370965396,446.27160370965396,20100
2002-08-29,456.8717041015625,468.50284618504537,452.04605016509305,457.82036102486614,138400
2002-08-30,457.8614807128906,461.8622824382913,456.17044302804317,457.9027157104757,39400
2002-09-02,461.0785217285156,463.18200965468156,459.46995436804565,460.7073061302576,22900
2002-09-03,460.50115966796875,462.35718762901297,458.64513170692453,461.9447369710031,8400
2002-09-04,461.284912109375,461.94482321579954,455.3868464594772,455.3868464594772,7800
2002-09-05,471.18377685546875,476.79309734284436,465.24447560789656,471.01878647537046,974200
2002-09-06,466.39935302734375,470.19387998981813,463.5946676390838,470.19387998981813,14500
2002-09-09,462.0273132324219,464.99698886192397,458.35654181021994,461.94484322104364,16800
2002-09-10,462.0273132324219,462.0273132324219,462.0273132324219,462.0273132324219,0
2002-09-11,462.3983154296875,464.8317838174026,458.64502538150106,464.8317838174026,32400
2002-09-12,461.9447937011719,462.7696951184954,459.5938448009946,459.5938448009946,13200
2002-09-13,459.5114440917969,461.9449139760924,457.40795499954146,461.9449139760924,1900
2002-09-16,460.46002197265625,461.7386092130718,454.52072117267096,454.52072117267096,5300
2002-09-17,462.31597900390625,462.7284296854428,457.077825139602,460.29496059478043,7300
2002-09-18,462.5220642089844,462.76952447333366,458.85124418590345,458.85124418590345,7800
2002-09-19,457.8614807128906,461.9447524334615,455.7579923562276,461.9447524334615,23800
2002-09-20,455.67559814453125,462.7697307403927,454.1082651917757,454.1082651917757,2900
2002-09-23,459.9649963378906,461.9447798191669,454.0257465900325,454.0257465900325,6000
2002-09-24,470.8948669433594,478.442733656616,456.1703995036356,460.25367083461083,195900
2002-09-25,463.3058776855469,469.368882656236,461.11986890129333,468.5027462815639,16700
2002-09-26,461.2436218261719,464.41947196596396,459.96498442247866,462.0272378503915,4700
2002-09-27,464.0895080566406,469.28642716125364,457.8202775483264,469.28642716125364,58000
2002-09-30,470.1938171386719,471.3486992848743,464.66696746411094,466.89421140436536,151700
2002-10-01,462.48101806640625,466.52300496247926,460.2950090847829,464.4195163346466,7000
2002-10-02,462.48101806640625,462.48101806640625,462.48101806640625,462.48101806640625,0
2002-10-03,465.2442932128906,468.04897753102375,461.9446882964872,461.9446882964872,8900
2002-10-04,466.6878967285156,469.3688258745477,465.2443194960368,469.2450705440011,6800
2002-10-07,466.9353942871094,469.8637839798419,459.47004721612075,459.47004721612075,13700
2002-10-08,467.30645751953125,468.54380912814435,458.64499625923986,458.64499625923986,8200
2002-10-09,465.8216552734375,467.67768272466583,463.5944122623701,463.5944122623701,8800
2002-10-10,467.34771728515625,469.3687350893173,463.8006525553052,464.04811282055647,37100
2002-10-11,462.9347229003906,465.2444369860423,461.94483104997107,464.0070847600156,10600
2002-10-14,462.0685119628906,474.31827688766595,461.98599161899006,474.31827688766595,1600
2002-10-15,462.0685119628906,462.0685119628906,462.0685119628906,462.0685119628906,0
2002-10-16,462.0685119628906,462.7696579721401,459.0576018921497,461.94475662103116,5600
2002-10-17,462.8934020996094,465.6568014196832,457.4077881084399,458.0264641067832,12400
2002-10-18,464.0895080566406,468.3790054113753,459.5525503512068,459.5525503512068,34500
2002-10-21,452.334716796875,465.24444539426366,449.7363072840532,460.3775064114035,29200
2002-10-22,455.5931701660156,487.5168740163842,453.69590644502756,482.56746412789295,13400
2002-10-23,458.0675964355469,460.2948395999796,452.4582787107326,457.82013616127,20400
2002-10-24,462.60479736328125,465.65694328791216,452.08730218715925,452.08730218715925,10700
2002-10-25,461.6148376464844,464.41952275435665,451.63355010303775,451.63355010303775,30200
2002-10-28,464.0895080566406,466.06929155820615,452.7883991414941,463.18213665474826,31600
2002-10-29,462.5220642089844,464.13063144920727,459.0574694641893,459.0574694641893,4300
2002-10-30,458.6451110839844,464.33695004777917,452.9120371258389,452.9120371258389,16900
2002-10-31,454.10821533203125,457.03660519781783,453.69576463690674,456.294224155385,25100
2002-11-01,440.29107666015625,451.8396950643571,429.81481989532085,446.35408118316946,49900
2002-11-04,441.7759094238281,442.97202645498845,436.90902165108264,439.8374113839352,4000
2002-11-05,438.3113098144531,449.4887633249308,437.23894813484526,449.4887633249308,5300
2002-11-06,438.3113098144531,438.3113098144531,438.3113098144531,438.3113098144531,0
2002-11-07,439.46624755859375,441.77596154936964,433.07326132005954,438.02267002086023,32100
2002-11-08,434.0631103515625,437.1977254835458,433.0732186393614,436.49657945922803,6900
2002-11-11,432.7019348144531,435.54785415837864,431.09336732893206,433.27937575130375,5800
2002-11-12,435.67169189453125,456.9953728154061,432.6607816636832,456.9953728154061,12600
2002-11-13,428.6187438964844,440.33235375304577,428.12382319960966,437.1565035274644,16700
2002-11-14,425.4429016113281,428.94873259891546,423.21565773785187,425.731596965229,30500
2002-11-15,424.6179504394531,427.2164097119805,423.17437314315583,424.8241757674956,13400
2002-11-18,426.39154052734375,432.4957804885519,423.99930640261005,425.6491091512583,15400
2002-11-19,426.39154052734375,426.39154052734375,426.39154052734375,426.39154052734375,0
2002-11-20,427.1340026855469,435.13555760590833,425.7316600132371,430.5985991853728,24100
2002-11-21,425.6492004394531,428.9488066444101,423.9993973369746,428.9488066444101,6000
2002-11-22,427.05133056640625,436.37270338577105,424.16417657425086,425.64898855776534,13400
2002-11-25,433.1970520019531,437.1978042221473,426.76277988783653,428.9487890481445,6800
2002-11-26,441.65216064453125,447.92139016510953,434.80543981666375,444.62178508102033,22200
2002-11-27,432.6195373535156,439.67243405916423,428.9899511545464,439.67243405916423,6300
2002-11-28,441.11590576171875,443.71436461647465,435.71281310529315,439.5898587187494,5800
2002-11-29,441.11590576171875,441.11590576171875,441.11590576171875,441.11590576171875,0
2002-12-02,448.0038757324219,449.44745300691153,444.33310522710343,449.44745300691153,7500
2002-12-03,449.6536560058594,451.63343916605214,447.1377172362649,447.92138350167363,7700
2002-12-04,449.32379150390625,452.04595598678446,444.9930592613321,451.1385846084866,23300
2002-12-05,440.4974060058594,450.39622411835063,438.0227014777366,449.57132260897635,12300
2002-12-06,445.2405700683594,487.51677056118643,441.4047580795702,449.5713028017709,13500
2002-12-09,427.38128662109375,441.32213687850106,424.9065830498124,437.1976309263655,30100
2002-12-10,430.72235107421875,435.9604556145912,428.288881507812,428.9487926576867,9800
2002-12-11,430.22735595703125,431.4234731702179,420.90597932142197,426.4740643001963,33200
2002-12-12,430.2685241699219,430.92848552853684,427.6288801273933,427.75258512114647,4500
2002-12-13,430.22735595703125,431.0110224310494,428.12386725687014,429.07252409615387,6500
2002-12-16,425.9791564941406,431.42348627737334,422.3495697399907,429.03125177832106,29200
2002-12-17,426.8451843261719,431.0109257881167,425.27785172956885,426.267743351214,2600
2002-12-18,426.5978088378906,430.51609076057997,425.73162202922043,427.29895493749194,3000
2002-12-19,422.3494567871094,428.90743205486433,420.69965422153473,423.75179903744356,17700
2002-12-20,425.6492004394531,427.2990035419316,424.41184811259427,426.47410199069236,13500
2002-12-23,428.49493408203125,429.7735208595235,425.855240199096,427.7112678803511,22400
2002-12-24,428.6600036621094,432.0833140318249,427.2988963049566,431.4234030260469,2700
2002-12-25,428.6600036621094,428.6600036621094,428.6600036621094,428.6600036621094,0
2002-12-26,429.1961975097656,431.2584510537756,426.4740329012698,431.2584510537756,3000
2002-12-27,431.5472106933594,435.54796255872805,410.84215423414184,428.9487510048079,5000
2002-12-30,430.76348876953125,436.3728077982871,428.9486957563503,428.9486957563503,10000
2002-12-31,431.8771057128906,432.99075278025515,420.6997021279126,424.82420901151954,10300
2003-01-01,432.9906921386719,433.0731621256001,423.17434699130064,423.17434699130064,2300
2003-01-02,433.2382507324219,435.5479647181476,429.9386449391026,435.4654947125102,1600
2003-01-03,434.26934814453125,435.50670023326217,425.6903535234693,425.6903535234693,5000
2003-01-06,435.8366394042969,442.14715532376533,434.06313158333853,435.96039475486936,8800
2003-01-07,437.5689392089844,441.3222303507821,435.54792079479057,435.54792079479057,7600
2003-01-08,441.1984558105469,444.5805814692637,435.9603525089975,438.55881183532983,35200
2003-01-09,442.51837158203125,443.75572369736096,439.30123594297925,439.30123594297925,4100
2003-01-10,448.25140380859375,449.57122580019063,436.7852551581669,437.19770582403856,11400
2003-01-13,447.9626159667969,452.3758678849923,446.68402909254473,452.3758678849923,13000
2003-01-14,444.16815185546875,452.04594985357573,443.0545047994114,450.3961471168838,10400
2003-01-15,447.5915222167969,448.7464044262076,442.06472258773425,447.0966014687583,8000
2003-01-16,442.8483581542969,447.0966210954154,441.3223104908621,445.03436730807493,7800
2003-01-17,447.9214782714844,449.53004613597955,440.497365371957,441.4872571614915,18500
2003-01-20,442.60089111328125,445.4468113666108,440.4974023514263,445.4468113666108,9400
2003-01-21,440.33233642578125,445.40549993505067,437.1977213236237,443.7969322115274,11500
2003-01-22,441.9408874511719,443.7969154432673,437.8576157989656,438.0226061345259,7400
2003-01-23,452.334716796875,453.6958244092997,445.4468094200397,445.4468094200397,274600
2003-01-24,445.48797607421875,449.5712479370049,444.0031636735649,444.78683004690515,11700
2003-01-27,454.5205993652344,456.99530317303055,438.14632930950734,448.74629048037656,20500
2003-01-28,455.5931701660156,468.5441361105012,446.560487049919,459.4702179816006,12000
2003-01-29,445.73553466796875,452.8709532509199,443.7970361548177,443.7970361548177,12900
2003-01-30,444.7868957519531,451.9635488212482,438.22891880332156,445.5292768879544,15800
2003-01-31,445.11663818359375,449.3648992241205,436.12524590216407,444.82794292172,5200
2003-02-03,446.0241394042969,450.39610618965554,443.79689584255436,445.11671777278286,5900
2003-02-04,442.4357604980469,453.613212592657,441.52838927208217,449.57117637232096,12900
2003-02-05,440.0848083496094,451.179740016772,438.2287805730646,451.179740016772,7300
2003-02-06,439.0125427246094,443.549500502893,437.19774954369854,440.53859020174644,6700
