Price,Close,High,Low,Open,Volume
Ticker,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS
Date,,,,,
2006-08-28,94.02017974853516,96.52229549285792,85.15675278983248,88.37981713845163,60664652
2006-08-29,91.484130859375,95.65715704207446,90.84799976631375,94.14740177306398,15716452
2006-08-30,89.58424377441406,92.09485018112886,88.46465686070555,91.09399949031423,8139932
2006-08-31,91.33993530273438,92.28140714682047,87.36199389818482,89.05834329426608,6683960
2006-09-01,91.91670989990234,93.12960415007542,90.77167378330306,91.43325434770611,4704780
2006-09-04,92.2729263305664,93.12958069426465,76.81069763484031,91.9421361316784,2999152
2006-09-05,93.75724029541016,94.31703356778917,91.34842189973824,92.28141413826853,3824532
2006-09-06,91.81493377685547,95.41967713530013,91.2636200867404,94.0965263497635,3830444
2006-09-07,91.14485931396484,92.45105053910981,89.90652621234533,92.45105053910981,1404644
2006-09-08,90.72078704833984,92.43410659283727,90.16947335230954,91.3993269819156,1078636
2006-09-11,90.91585540771484,92.45104966629674,90.28820400896595,91.59439522177941,1681864
2006-09-12,91.2381591796875,92.76487382111262,90.5850687245564,90.91585896760444,2056784
2006-09-13,92.400146484375,93.12957459718422,91.77249518593199,91.77249518593199,1607788
2006-09-14,93.27375793457031,94.57146923233012,92.46799205321862,92.484961757674,2138440
2006-09-15,91.63679504394531,93.97775510395466,91.43323104879344,93.32466473794125,839132
2006-09-18,92.70551300048828,95.33485508924869,92.28142556681725,92.28142556681725,897504
2006-09-19,99.10923767089844,105.82677877848673,92.70551713674968,92.96844928661758,19172256
2006-09-20,102.63760375976562,104.1388789771879,97.24321550671286,98.35432213474252,9057312
2006-09-21,103.2991943359375,106.36110280036047,97.87935616556298,97.87935616556298,7104400
2006-09-22,101.97604370117188,106.02183269534854,100.63592359442484,106.02183269534854,2906004
2006-09-25,100.68681335449219,103.76569155875829,100.09309108343109,100.97519481403224,2542148
2006-09-26,104.76652526855469,106.1914627763605,100.76314519034845,101.74702568207431,6943500
2006-09-27,105.08037567138672,107.17536323863054,104.54602141796698,105.0888553484561,4061248
2006-09-28,103.9862289428711,105.97096001627197,103.16350354051119,105.97096001627197,1210420
2006-09-29,104.90228271484375,106.87004447157118,103.47734464707685,104.32551960320043,2381504
2006-10-03,105.07190704345703,107.8623940829687,104.32550901633286,105.00404891237406,3202624
2006-10-04,104.10496520996094,105.8522030289628,103.4773138584412,105.44507502968105,1202696
2006-10-05,105.8776626586914,106.53075310231473,105.0040384877911,105.37723746430278,857264
2006-10-06,105.39419555664062,108.55789161144693,104.85985166017281,106.70038678194416,2473768
2006-10-09,104.16433715820312,106.00488254578728,103.47731769343662,104.83439726974399,961312
2006-10-10,104.46971130371094,105.98794663455374,103.53671879750237,105.1737006998751,840552
2006-10-11,106.86152648925781,110.90731543831367,105.17365686083296,105.17365686083296,7770292
2006-10-12,106.81914520263672,108.07443779806658,105.34331885804067,107.63339100712852,2884688
2006-10-13,115.68254852294922,117.54005317254547,107.73514543224253,107.73514543224253,10084532
2006-10-16,120.51713562011719,121.79787724463883,116.75123818053297,116.75123818053297,7437840
2006-10-17,119.50785827636719,121.62829579014233,118.78690952168364,121.1193907868363,3306924
2006-10-18,116.03880310058594,121.28900767121944,115.35178351948142,120.44083279239972,3019184
2006-10-19,131.0769500732422,134.35090309043892,118.74448505468085,118.74448505468085,18835652
2006-10-20,146.45431518554688,152.67143961814128,131.63670793741957,132.14561273614672,21011380
2006-10-23,152.35763549804688,167.76048698982672,149.44839194470512,162.1710132793849,16687696
2006-10-26,155.8351593017578,157.0819721095288,151.37375159495568,152.67146317340814,10700288
2006-10-27,169.79611206054688,172.00984617579797,156.28468361147247,156.28468361147247,17816692
2006-10-30,170.74606323242188,177.74351553510746,167.09043199405264,171.3313059025311,12570116
2006-10-31,167.8876953125,173.87580637850368,162.2727728162554,170.99201251661628,8952160
2006-11-01,171.20408630371094,173.70620200644044,166.6833104010296,169.8045978598114,7815152
2006-11-02,170.05905151367188,172.7986603254206,168.8122386689904,170.99204381624065,4379712
2006-11-03,168.2778778076172,170.48313225469283,167.0904331053457,170.31349729722547,2850172
2006-11-06,169.3465576171875,173.19727280514172,166.75114511993564,169.63493908436993,3482952
2006-11-07,168.09976196289062,172.07770375760273,167.47211055404054,171.9589572174912,2035924
2006-11-08,168.05734252929688,170.48312017851075,164.37626214226557,169.39745238614455,3295280
2006-11-09,167.53147888183594,170.1099322911276,166.58152726700558,169.97422639667982,1888468
2006-11-10,169.52467346191406,174.89362346434908,165.39406680673167,168.68498879031287,5312484
2006-11-13,170.61033630371094,172.49327994545072,168.7019432801795,169.6349354250171,2536604
2006-11-14,168.98184204101562,172.1794563750749,168.13366737906946,171.3312817131287,2367328
2006-11-15,182.1200714111328,184.86816992345118,169.21085633730382,169.63494369654518,10842812
2006-11-16,195.5806121826172,197.89613344917043,180.18624008733912,182.36606581495315,16836432
2006-11-17,189.15994262695312,199.77908714272846,186.25918890838312,196.77655658809144,8229376
2006-11-20,193.23110961914062,194.87658056650912,179.88085132939642,186.5983891990865,7255332
2006-11-21,200.56785583496094,205.20736704033948,191.7977382154495,191.7977382154495,7310604
2006-11-22,199.2362060546875,203.51948762376443,198.21839657292662,201.3566424750226,3415848
2006-11-23,195.02932739257812,201.01745044403782,193.41779508944026,201.01745044403782,2498644
2006-11-24,193.53651428222656,200.5424251366183,186.77656581689536,186.77656581689536,3247380
2006-11-27,191.18707275390625,195.0716964225749,189.43133450991877,193.99451866494428,1628732
2006-11-28,189.36351013183594,195.41946979298461,182.40847691871758,189.98266115684618,3116228
2006-11-29,190.82235717773438,194.9105552837215,189.51615565348712,190.83931653105893,1654736
2006-11-30,190.4152374267578,192.87494427993195,188.65102974920967,191.80623577800984,974100
2006-12-01,190.03355407714844,194.48647154603944,188.8206600346198,191.68749485130795,1191888
2006-12-04,188.7612762451172,192.99365964251686,188.32869887258585,190.83930422445007,1164244
2006-12-05,197.87913513183594,199.6094030412038,187.44658750165343,188.88848432858921,4355516
2006-12-06,192.74769592285156,202.20484359959434,191.0598365935457,199.32104968919742,4025108
2006-12-07,193.3753662109375,198.5577225712563,190.8817405581428,192.53568143389654,3723552
2006-12-08,190.95803833007812,195.08017553965448,190.36431605669657,195.08017553965448,1497532
