Price,Close,High,Low,Open,Volume
Ticker,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS
Date,,,,,
2002-08-12,280.7364501953125,281.4630297125009,277.46678693350077,277.92090606105154,13300
2002-08-13,282.3712463378906,284.27855207094996,274.78745194526755,274.78745194526755,14200
2002-08-14,282.6437683105469,283.37034785919,275.2870325822944,275.2870325822944,40000
2002-08-15,282.6437683105469,282.6437683105469,282.6437683105469,282.6437683105469,0
2002-08-16,282.5074462890625,283.3702835598695,279.78273202406376,281.55380738320366,30600
2002-08-19,282.6890869140625,285.0959121507693,282.0987377378476,282.462027406501,29300
2002-08-20,282.91619873046875,284.1423258414465,282.0079605322971,283.5973773790975,74300
2002-08-21,287.275634765625,294.4961371093185,280.64550922676773,280.64550922676773,48800
2002-08-22,285.686279296875,289.5462911682182,282.4620451735849,287.0486364279373,32600
2002-08-23,285.731689453125,286.9123878038783,282.462027005437,282.462027005437,46100
2002-08-26,287.0032043457031,287.82061299185057,284.27849038039585,285.0958990265433,31600
2002-08-27,286.730712890625,287.9114110604515,283.37022161154846,286.5490542257806,41800
2002-08-28,286.0041809082031,292.36184780296827,278.82910524184234,278.82910524184234,33100
2002-08-29,289.5462951660156,292.45266817263456,282.9615689416318,286.50371970508206,41100
2002-08-30,285.8679504394531,290.6362006056394,282.9615773465055,290.6362006056394,84100
2002-09-02,284.55096435546875,289.2738132090369,282.91614698466253,288.8196941930102,23300
2002-09-03,282.5074462890625,286.5491168690347,281.735466087761,286.5491168690347,15500
2002-09-04,285.640869140625,287.36651590677343,280.6455598233804,283.3702739964229,16300
2002-09-05,291.90771484375,294.3145402244679,283.1432228709028,283.3702823920502,49800
2002-09-06,289.00128173828125,295.0410576210845,287.0939767970754,289.7732617016961,46800
2002-09-09,285.459228515625,287.91148251351444,284.3239308716443,285.1867681679607,13800
2002-09-10,285.459228515625,285.459228515625,285.459228515625,285.459228515625,0
2002-09-11,285.1412353515625,288.8195869283872,283.4155615577783,284.2783984546704,20400
2002-09-12,291.771484375,293.36090102140076,283.4611114529784,284.2785201848249,61900
2002-09-13,287.5481872558594,292.45266743966295,285.27759201176264,291.5444293420243,58400
2002-09-16,287.82061767578125,289.0013437102969,282.96153881512953,284.27849500668276,24600
2002-09-17,285.9587707519531,289.727953315909,284.27852472689506,284.27852472689506,6600
2002-09-18,284.7326354980469,287.6844092312802,282.5528696692583,286.09499260569305,18400
2002-09-19,281.1904602050781,287.7751849993186,279.73727401738773,283.00693601038586,28900
2002-09-20,282.4620361328125,285.1413494917022,275.28696101564924,281.5083972584828,24800
2002-09-23,281.2813415527344,286.0949922400414,279.7373257458182,281.37214318601366,31500
2002-09-24,283.3702392578125,286.09495309682995,277.9662123902056,277.9662123902056,31400
2002-09-25,283.1886901855469,283.8244680809415,280.64563403843493,280.64563403843493,10500
2002-09-26,282.3712463378906,284.05149252456744,280.6910001512138,280.6910001512138,5000
2002-09-27,281.46295166015625,285.1867330168788,280.73637234445516,280.73637234445516,49300
2002-09-30,281.0543518066406,285.1414241389685,277.0580811301335,285.1414241389685,101100
2002-10-01,280.7364501953125,284.0515142829865,279.7373825712545,284.0515142829865,86300
2002-10-02,280.7364501953125,280.7364501953125,280.7364501953125,280.7364501953125,0
2002-10-03,282.41668701171875,285.9133820024639,277.9662975376231,277.9662975376231,21500
2002-10-04,281.4176330566406,284.7326971934367,281.0997441191983,284.2785780591569,53800
2002-10-07,281.1451416015625,286.14045201922204,278.8291451311768,278.8291451311768,84800
2002-10-08,281.46295166015625,285.0959036731101,277.9208289909711,277.9208289909711,12100
2002-10-09,281.00885009765625,283.2794452466632,279.28320332785614,283.2794452466632,57400
2002-10-10,281.4176330566406,282.91622065631753,278.8291484477993,278.8291484477993,6500
2002-10-11,279.8734436035156,283.2339342031187,279.28309463796785,282.4619266094569,29200
2002-10-14,279.23779296875,285.18674096895114,278.87447558354455,282.0079078689788,21800
2002-10-15,279.23779296875,279.23779296875,279.23779296875,279.23779296875,0
2002-10-16,280.1005859375,290.63615199060405,277.0125823660445,286.00413277480914,71800
2002-10-17,276.96710205078125,281.5536914209132,276.14966593417404,278.6473196483918,36700
2002-10-18,278.96533203125,282.1895939762217,277.05802644252736,279.6919391550255,30700
2002-10-21,278.5566711425781,281.5084453361907,277.9208933062924,278.8291315197116,24700
2002-10-22,276.6039123535156,281.4629919091306,276.10439246719324,281.4629919091306,31400
2002-10-23,273.2434387207031,277.7392006984021,271.5631926873859,276.9672204849455,18200
2002-10-24,270.1554870605469,278.7837507073773,269.3380504360084,278.7837507073773,49800
2002-10-25,279.46484375,283.82437506409485,267.2490315603517,270.2008050610183,222800
2002-10-28,283.5972900390625,285.640825355597,282.46199264098783,283.3702305594476,160300
2002-10-29,272.7892761230469,283.3702427862025,272.4713872944255,283.3702427862025,227600
2002-10-30,272.380615234375,277.9208734845387,269.65590078844815,269.7467301467581,62900
2002-10-31,274.7419738769531,278.829044562726,272.51677986114356,272.51677986114356,105400
2002-11-01,277.5575866699219,289.90963116402236,272.4714474409124,281.4629996630167,196100
2002-11-04,283.5972900390625,284.95964691675215,279.7372788856085,280.1913978448384,29200
2002-11-05,281.3267517089844,286.00417238442924,279.73733503266243,283.8244064860617,69800
2002-11-06,281.3267517089844,281.3267517089844,281.3267517089844,281.3267517089844,0
2002-11-07,282.3712463378906,284.27855207094996,275.74111867041216,277.92088477223865,58000
2002-11-08,281.3267517089844,282.2803906278867,277.96625964929854,277.96625964929854,40600
2002-11-11,281.3721618652344,282.46205870920295,275.1961536620209,276.6039116780211,31900
2002-11-12,284.59637451171875,286.0949616244019,277.10341123107963,277.10341123107963,50200
2002-11-13,283.4610595703125,287.8205904870412,282.4619923177059,286.82152323443455,65800
2002-11-14,285.640869140625,286.50370638231215,282.50743675473575,282.6890954531623,27800
2002-11-15,283.6427001953125,286.54907271704957,282.552831287578,284.2784778460745,40400
2002-11-18,285.731689453125,292.45264532395726,284.3693324096904,285.91332042858124,86300
2002-11-19,285.731689453125,285.731689453125,285.731689453125,285.731689453125,0
2002-11-20,280.1460266113281,285.14133569022067,277.1942530647098,283.3702604753599,131000
2002-11-21,274.4241638183594,279.69196195555975,273.3796954423413,278.8291245873713,85900
2002-11-22,275.15069580078125,279.6464569863705,273.37962072580154,279.6464569863705,91600
2002-11-25,271.8810119628906,276.1043125154894,270.2007663597306,275.19607464537273,58300
2002-11-26,269.4742126464844,273.3342239596906,268.0210263733622,272.4713868145554,139200
2002-11-27,270.4279479980469,274.19713131838506,268.0665229254822,269.8375986592139,73800
2002-11-28,265.20550537109375,270.6549335636505,262.48079127481543,267.38527110467146,219200
2002-11-29,265.20550537109375,265.20550537109375,265.20550537109375,265.20550537109375,0
2002-12-02,264.5242919921875,266.1137083389217,258.0757972705646,259.75604295198497,177100
