Price,Close,High,Low,Open,Volume
Ticker,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS
Date,,,,,
2017-10-03,694.6609497070312,726.5198383885994,688.9175398188252,721.6109205616494,35367877
2017-10-04,690.8319702148438,697.8026089590047,686.2666530599287,697.2135628398645,3613280
2017-10-05,681.8976440429688,691.7154779790084,673.6015623823547,691.7154779790084,2680742
2017-10-06,684.0575561523438,689.2119187928888,676.448735111539,681.2594975453682,1416485
2017-10-09,685.9229736328125,689.7028156281444,681.4558113723095,681.4558113723095,951473
2017-10-10,687.2484130859375,688.4265652073175,682.8794647609443,685.6284464286268,555002
2017-10-11,677.3323974609375,690.1937361423483,673.5034181986499,687.2483859169897,1077409
2017-10-12,675.1725463867188,681.3577706485781,672.521718867833,678.5105744387913,439314
2017-10-13,677.1361083984375,682.3886262818226,667.6127962322274,676.3997707555343,1344510
2017-10-16,657.8928833007812,676.8904237401697,656.8129457748022,673.503259792996,971834
2017-10-17,660.789306640625,661.7220128570575,656.8130958477321,658.2857709505297,664335
2017-10-18,656.22412109375,660.5930097682135,652.0515411823513,658.7767342466934,415712
2017-10-19,662.8019409179688,665.8945825578496,653.9658904306548,653.9658904306548,93358
2017-10-23,653.6713256835938,661.5255922821909,652.8859110083937,657.794827632517,292330
2017-10-24,653.7205200195312,659.2185435778385,650.9224610116555,651.707875827611,350373
2017-10-25,657.6967163085938,661.1820353551385,646.1116243789031,654.8495205109642,583868
2017-10-26,654.7022094726562,657.696696658501,648.4679091076337,657.696696658501,242175
2017-10-27,650.1370239257812,653.9168663049531,646.9953048462669,651.1188073929227,396395
2017-10-30,643.0682373046875,652.8860729887285,638.061165075152,652.8860729887285,1164020
2017-10-31,650.0388793945312,656.8132100142277,643.8536548723335,643.8536548723335,1402840
2017-11-01,635.262939453125,652.7386720563518,630.5503910994789,651.9041801324313,859011
2017-11-02,631.0411987304688,641.6935232733646,629.5194466419545,635.2628548197747,574130
2017-11-03,630.550537109375,641.59560295987,629.4214619642197,631.3359520296356,672547
2017-11-06,644.786376953125,647.8790192511947,630.9432522128369,630.9432522128369,483071
2017-11-07,630.6486206054688,646.9953401958256,627.8996387319391,646.9953401958256,763293
2017-11-08,620.094482421875,637.1775406078043,617.5418690944667,637.1775406078043,843603
2017-11-09,645.9644165039062,658.1876321305834,621.4689080639597,621.4689080639597,356798
2017-11-10,664.2255249023438,666.8272747939916,643.1662596973358,643.1662596973358,784443
2017-11-13,652.885986328125,668.3981526652449,650.9224194519502,652.885986328125,192279
2017-11-14,647.9769897460938,655.5858104590213,642.086289839311,643.2644418053272,350594
2017-11-15,637.5211181640625,648.0262140338828,632.6613375764006,638.2574558195643,269314
2017-11-16,638.0609741210938,647.1915465900606,631.090276917574,636.7846079254988,261879
2017-11-17,647.5352783203125,651.6097037069135,633.3484951357315,641.1046085499933,3200674
2017-11-20,649.400634765625,652.8859538125956,644.5407950044647,645.3262097311577,712433
2017-11-21,674.9269409179688,683.7139134291436,647.9769773743315,647.9769773743315,2077453
2017-11-22,680.523193359375,686.2175251422426,668.7417924610404,676.4487682460461,669175
2017-11-23,654.1622924804688,676.4487884983859,651.9042025586766,676.4487884983859,827451
2017-11-24,643.75537109375,658.2366758777351,643.0681107464599,655.8312946238705,599114
2017-11-27,641.791748046875,650.6277976484658,639.9754130081257,643.6080231623279,239417
2017-11-28,641.54638671875,654.8004628667494,640.1227887774521,641.1045721958225,269211
2017-11-29,644.2462768554688,646.4062123127227,638.9446225443274,642.1354185833858,258606
2017-11-30,642.9699096679688,653.8186031909747,641.9389892602767,653.8186031909747,316178
2017-12-01,643.9517822265625,646.0135034811161,640.368248701456,646.0135034811161,86648
2017-12-04,649.6951293945312,653.671339962267,641.1536022973175,647.9770085385578,162592
2017-12-05,647.0933837890625,650.0878709534092,641.6444981662897,647.9770127758043,125688
2017-12-06,644.1480712890625,647.9770505571307,642.1354272833564,642.1354272833564,210799
2017-12-07,656.22412109375,657.794950738129,639.141064075406,643.166352491196,279051
